,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
1075,EIGR,"Eiger BioPharmaceuticals, Inc.",7.60M,-3.56%,16214,14.67M
1076,GCTK,"GlucoTrack, Inc.",7.58M,0.65%,50449,-
1077,NEXI,"NexImmune, Inc.",7.54M,-4.30%,29884,-
1078,PSTV,"Plus Therapeutics, Inc.",7.53M,4.85%,56193,4.91M
1079,HPCO,"Hempacco Co., Inc.",7.42M,-4.84%,210041,2.53M
1080,CELZ,"Creative Medical Technology Holdings, Inc.",7.41M,3.38%,64771,24.60K
1081,FWBI,"First Wave BioPharma, Inc.",7.41M,-11.73%,147019,-
1082,SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",7.39M,10.82%,48314,-
1083,KTTA,Pasithea Therapeutics Corp.,7.26M,0.57%,515,240.71K
1084,AIMD,"Ainos, Inc.",7.20M,-6.20%,89296,-
1085,TTNP,"Titan Pharmaceuticals, Inc.",7.00M,16.15%,27226,306.00K
1086,AZTR,"Azitra, Inc.",6.87M,-3.77%,149128,686.00K
1087,BCEL,"Atreca, Inc.",6.74M,-14.57%,598722,-
1088,XBIO,"Xenetic Biosciences, Inc.",6.70M,2.47%,4642,2.35M
1089,TENX,"Tenax Therapeutics, Inc.",6.62M,-1.83%,92548,-
1090,SNGX,"Soligenix, Inc.",6.53M,-2.64%,82509,839.36K
1091,GTBP,"GT Biopharma, Inc.",6.39M,0.65%,2187,-
1092,OGEN,"Oragenics, Inc.",6.27M,-2.78%,34222,37.65K
1093,APDN,"Applied DNA Sciences, Inc.",6.25M,-1.08%,236741,9.00M
1094,SONN,"Sonnet BioTherapeutics Holdings, Inc.",6.20M,20.24%,140992,129.18K
1095,ALZN,"Alzamend Neuro, Inc.",6.16M,-4.12%,53791,-
1096,PULM,"Pulmatrix, Inc.",6.14M,-1.75%,10780,6.80M
1097,VIRI,"Virios Therapeutics, Inc.",6.12M,1.15%,83392,-
1098,MYMD,"MyMD Pharmaceuticals, Inc.",6.02M,-7.10%,31140,-
1099,GNPX,"Genprex, Inc.",6.00M,-2.88%,37193,-
1100,VVOS,"Vivos Therapeutics, Inc.",5.99M,5.63%,49728,14.50M
1101,DRUG,Bright Minds Biosciences Inc.,5.93M,-0.76%,15449,-
1102,SISI,"Shineco, Inc.",5.93M,7.68%,38177,3.43M
1103,KZIA,Kazia Therapeutics Limited,5.90M,0.63%,111880,15.86K
1104,ATXI,"Avenue Therapeutics, Inc.",5.88M,0.77%,2453791,-
1105,ENVB,"Enveric Biosciences, Inc.",5.83M,-1.82%,124815,-
1106,CLVR,Clever Leaves Holdings Inc.,5.81M,-1.48%,3455,17.39M
1107,AFIB,"Acutus Medical, Inc.",5.71M,5.92%,280882,19.66M
1108,SSY,"SunLink Health Systems, Inc.",5.70M,6.58%,1928,39.59M
1109,XCUR,"Exicure, Inc.",5.68M,7.53%,27116,23.79M
1110,KA,"Kineta, Inc.",5.66M,-10.76%,223562,3.31M
1111,ADTX,"Aditxt, Inc.",5.61M,-9.65%,65805,749.48K
1112,CING,Cingulate Inc.,5.47M,-5.83%,169969,-
1113,UPC,Universe Pharmaceuticals INC,5.40M,-5.13%,19433,32.31M
1114,SILO,"Silo Pharma, Inc.",5.31M,8.88%,86313,72.10K
1115,LIPO,Lipella Pharmaceuticals Inc.,5.26M,2.12%,43237,449.62K
1116,EVOK,"Evoke Pharma, Inc.",5.26M,-4.76%,112575,5.18M
1117,LIXT,"Lixte Biotechnology Holdings, Inc.",5.20M,2.21%,3392,-
1118,PXMD,"PaxMedica, Inc.",5.19M,7.27%,510014,-
1119,MDGS,Medigus Ltd.,5.12M,0.75%,736,83.45M
1120,PTIX,"Protagenic Therapeutics, Inc.",5.10M,0.88%,18256,-
1121,IMCC,IM Cannabis Corp.,5.07M,11.88%,724012,58.35M
1122,HSDT,"Helius Medical Technologies, Inc.",5.06M,-0.35%,8172,792.00K
1123,HOTH,"Hoth Therapeutics, Inc.",5.04M,-,39283,-
1124,BSGM,"BioSig Technologies, Inc.",4.95M,0.23%,264775,141.00K
1125,CJJD,"China Jo-Jo Drugstores, Inc.",4.90M,-1.69%,21053,148.81M
1126,STSS,"Sharps Technology, Inc.",4.89M,6.67%,177682,-
1127,VRPX,"Virpax Pharmaceuticals, Inc.",4.88M,8.71%,15564,-
1128,OTRK,"Ontrak, Inc.",4.84M,3.96%,565450,11.71M
1129,OPGN,"OpGen, Inc.",4.82M,-2.10%,74938,3.07M
1130,XTLB,XTL Biopharmaceuticals Ltd.,4.80M,-7.37%,2368,-
1131,LFLY,"Leafly Holdings, Inc.",4.79M,-2.22%,38972,44.62M
1132,RHE,"Regional Health Properties, Inc.",4.71M,3.38%,4188,22.80M
1133,BPTS,Biophytis S.A.,4.66M,4.73%,2700,-
1134,ARTL,"Artelo Biosciences, Inc.",4.59M,-4.00%,15906,-
1135,AEMD,"Aethlon Medical, Inc.",4.53M,2.37%,3165,574.25K
1136,CHRO,Chromocell Therapeutics Corp,4.46M,-2.07%,24690,-
1137,VERO,Venus Concept Inc.,4.45M,-2.85%,33264,82.51M
1138,ZCMD,Zhongchao Inc.,4.42M,-,33198,17.23M
1139,SCPX,Scorpius Holdings Inc,4.40M,5.46%,747736,2.23M
1140,LUCY,"Innovative Eyewear, Inc.",4.39M,2.29%,101758,603.79K
1141,PALI,"Palisade Bio, Inc.",4.37M,-4.88%,163032,250.00K
1142,PHIO,Phio Pharmaceuticals Corp.,4.34M,0.81%,203648,-
1143,SNPX,"Synaptogenix, Inc.",4.12M,12.22%,400129,-
1144,FNCH,"Finch Therapeutics Group, Inc.",4.10M,3.44%,4092,115.00K
1145,TCBP,TC Biopharm (Holdings) Plc,4.08M,-12.50%,620592,3.61M
1146,MGRX,"Mangoceuticals, Inc.",4.07M,18.54%,679026,496.06K
1147,GOVX,"GeoVax Labs, Inc.",4.04M,-8.82%,61373,-
1148,CMND,Clearmind Medicine Inc.,4.03M,4.96%,13427,-
1149,CPHI,"China Pharma Holdings, Inc.",3.95M,3.53%,63802,7.78M
1150,AVGR,"Avinger, Inc.",3.94M,3.19%,29113,7.75M
1151,RSLS,ReShape Lifesciences Inc.,3.81M,-3.85%,229767,9.81M
1152,IONM,Assure Holdings Corp.,3.77M,-4.28%,1428658,3.57M
1153,ZVSA,"ZyVersa Therapeutics, Inc.",3.77M,-2.30%,417362,-
1154,PCSA,"Processa Pharmaceuticals, Inc.",3.74M,-1.79%,31641,-
1155,NXL,"Nexalin Technology, Inc.",3.71M,-9.42%,72202,128.64K
1156,KTRA,"Kintara Therapeutics, Inc.",3.67M,-6.09%,8956476,-
1157,IBIO,"iBio, Inc.",3.66M,-7.89%,55796,50.00K
1158,VTAK,"Catheter Precision, Inc.",3.65M,-26.76%,21482,314.00K
1159,NBSE,"NeuBase Therapeutics, Inc.",3.61M,5.44%,86359,-
1160,JAGX,"Jaguar Health, Inc.",3.55M,-6.79%,28697870,10.72M
1161,ONCO,Onconetix Inc,3.55M,-3.69%,111775,-
1162,AVTX,"Avalo Therapeutics, Inc.",3.50M,-12.60%,28804,2.25M
1163,PTPI,"Petros Pharmaceuticals, Inc.",3.35M,10.14%,797410,6.98M
1164,ISPC,iSpecimen Inc.,3.34M,7.94%,35003,9.93M
1165,SBFM,"Sunshine Biopharma, Inc.",3.27M,20.00%,7025008,20.35M
1166,CYCC,"Cyclacel Pharmaceuticals, Inc.",3.20M,-1.62%,25378,389.00K
1167,PRFX,PainReform Ltd.,3.18M,-3.16%,11357,-
1168,CYTO,Altamira Therapeutics Ltd.,3.18M,2.98%,23314,-902.13K
1169,BPTH,"Bio-Path Holdings, Inc.",3.12M,-10.16%,15835,-
1170,WINT,"Windtree Therapeutics, Inc.",3.12M,-5.56%,41199,-
1171,BDRX,Biodexa Pharmaceuticals Plc,3.06M,5.41%,88420,377.22K
1172,CNSP,"CNS Pharmaceuticals, Inc.",3.00M,-7.12%,105230,-
1173,FOXO,FOXO Technologies Inc.,2.93M,-2.29%,883112,453.00K
1174,ACON,"Aclarion, Inc.",2.86M,14.38%,1915601,84.13K
1175,APVO,Aptevo Therapeutics Inc.,2.85M,-,18826,-
1176,TNON,"Tenon Medical, Inc.",2.82M,-,220216,2.40M
1177,NUWE,"Nuwellis, Inc.",2.78M,0.76%,233169,8.86M
1178,BIOL,"BIOLASE, Inc.",2.67M,3.04%,1470457,49.73M
1179,SXTP,"60 Degrees Pharmaceuticals, Inc.",2.63M,-3.06%,226967,-209.26K
1180,ADIL,"Adial Pharmaceuticals, Inc.",2.63M,-9.20%,291909,-
1181,SPRC,SciSparc Ltd.,2.61M,-8.11%,223840,3.32M
1182,INVO,"INVO Bioscience, Inc.",2.57M,-5.50%,17357,1.92M
1183,SLRX,"Salarius Pharmaceuticals, Inc.",2.56M,4.48%,11851,-
1184,ATNF,180 Life Sciences Corp.,2.55M,-2.78%,64409,-
1185,ENSC,"Ensysce Biosciences, Inc.",2.50M,6.55%,228465,-
1186,BTTX,"Better Therapeutics, Inc.",2.43M,27.43%,200546834,-
1187,THMO,"ThermoGenesis Holdings, Inc.",2.38M,7.46%,15019,9.72M
1188,LSDI,Lucy Scientific Discovery Inc.,2.33M,-21.43%,821013,16.73K
1189,INM,InMed Pharmaceuticals Inc.,2.18M,2.89%,67558,5.49M
1190,SCNI,Scinai Immunotherapeutics Ltd.,2.17M,-0.50%,8238,-
1191,ALLR,"Allarity Therapeutics, Inc.",2.14M,-0.89%,146834,-
1192,SNOA,"Sonoma Pharmaceuticals, Inc.",2.14M,1.78%,210612,12.31M
1193,DYNT,Dynatronics Corporation,2.11M,-5.91%,7836,35.18M
1194,YCBD,"cbdMD, Inc.",2.09M,-5.48%,26955,23.45M
1195,WORX,SCWorx Corp.,2.08M,-,70578,3.92M
1196,BBLG,Bone Biologics Corporation,2.05M,-2.92%,12167,-
1197,VRAX,Virax Biolabs Group Limited,2.01M,-1.65%,26866,79.30K
1198,QLGN,"Qualigen Therapeutics, Inc.",1.92M,-6.28%,231492,4.62M
1199,AMPE,"Ampio Pharmaceuticals, Inc.",1.85M,-0.61%,28642,-
1200,TIVC,"Tivic Health Systems, Inc.",1.85M,2.44%,17079,1.23M
1201,NAOV,"NanoVibronix, Inc.",1.83M,-1.23%,37852,1.00M
1202,QNRX,"Quoin Pharmaceuticals, Ltd.",1.72M,-4.30%,242166,-
1203,AGRX,"Agile Therapeutics, Inc.",1.61M,-8.14%,800472,19.97M
1204,AKAN,Akanda Corp.,1.50M,8.35%,724602,3.94M
1205,BACK,"IMAC Holdings, Inc.",1.47M,-4.44%,22723,8.47M
1206,BJDX,"Bluejay Diagnostics, Inc.",1.42M,-,15664,-
1207,DRMA,"Dermata Therapeutics, Inc.",1.41M,-0.50%,135531,-
1208,GLMD,Galmed Pharmaceuticals Ltd.,1.22M,-12.73%,3450208,-
1209,THAR,"Tharimmune, Inc.",1.18M,-2.26%,119762,-
1210,SINT,"Sintx Technologies, Inc.",1.09M,-1.11%,383036,2.49M
1211,SXTC,"China SXT Pharmaceuticals, Inc.",984.03K,-1.14%,115769,33.62K
1212,MOTS,"Motus GI Holdings, Inc.",977.27K,-1.30%,142736,364.00K
1213,REVB,"Revelation Biosciences, Inc.",955.34K,2.12%,70635,-
1214,NBY,"NovaBay Pharmaceuticals, Inc.",914.10K,3.93%,1002560,14.64M
1215,GRI,"GRI Bio, Inc.",746.78K,-0.43%,101553,-
1216,RNAZ,"TransCode Therapeutics, Inc.",729.95K,0.16%,140054,-
